date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:46:44	256/256	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:36%20GMT	https://mabanque.bnpparibas/fr/secure/assistance/sos-carte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/secure/assistance/sos-carte	(from https://mabanque.bnpparibas/)
03:46:45	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:37%20GMT	https://mabanque.bnpparibas/auth/login?r=/fr/secure/assistance/sos-carte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/auth/login6d84	(from https://mabanque.bnpparibas/)
03:46:45	283/283	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:37%20GMT	https://mabanque.bnpparibas/fr/secure/virements-services/oppositions/opposition-carte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/secure/virements-services/oppositions/opposition-carte	(from https://mabanque.bnpparibas/)
03:46:46	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:38%20GMT	https://mabanque.bnpparibas/auth/login?r=/fr/secure/virements-services/oppositions/opposition-carte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/auth/login219a	(from https://mabanque.bnpparibas/)
03:46:46	285/285	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:39%20GMT	https://mabanque.bnpparibas/fr/secure/virements-services/oppositions/opposition-cheques	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/secure/virements-services/oppositions/opposition-cheques	(from https://mabanque.bnpparibas/)
03:46:47	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:39%20GMT	https://mabanque.bnpparibas/auth/login?r=/fr/secure/virements-services/oppositions/opposition-cheques	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/auth/login166a	(from https://mabanque.bnpparibas/)
03:46:58	289/289	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:51%20GMT	https://mabanque.bnpparibas/fr/secure/virements-services/oppositions/opposition-prelevement	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/secure/virements-services/oppositions/opposition-prelevement	(from https://mabanque.bnpparibas/)
03:47:00	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:51%20GMT	https://mabanque.bnpparibas/auth/login?r=/fr/secure/virements-services/oppositions/opposition-prelevement	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/auth/loginb2ee	(from https://mabanque.bnpparibas/)
03:47:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:53%20GMT	https://mabanque.bnpparibas/aiguillage-wspl/redirect/contestopecarte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/aiguillage-wspl/redirect/contestopecarte	(from https://mabanque.bnpparibas/)
03:47:01	283/283	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2028%20May%202023%2000:53:54%20GMT	https://mabanque.bnpparibas/fr/secure/virements-services/contestation-operation-carte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/secure/virements-services/contestation-operation-carte	(from https://mabanque.bnpparibas/)
